,suicides_per_100k
7482,3.4671369
12365,14.400501
6749,17.447998
7087,19.904566
5606,16.792702
4389,5.8127613
20398,18.598679
3211,5.0028167
1059,2.3837783
5434,3.7461603
14346,2.78072
15782,1.7327378
6490,9.932187
17403,8.00241
11497,23.023664
6336,5.13461
2688,17.950914
3861,12.23745
492,7.3562016
6297,6.826202
4627,6.6256137
15396,8.5625725
10904,20.251259
12851,4.2724266
6532,8.459012
87,4.587913
8147,3.6719968
1709,2.1301625
14829,16.045319
16413,7.287656
16304,18.100605
12152,5.0740275
19884,12.93525
3401,17.948622
4382,5.9640665
17063,1.051276
2490,21.061893
7958,12.801684
3710,13.106594
2791,0.532907
4261,3.587702
13133,11.001758
19199,10.969746
15460,8.684641
9195,24.848778
20454,7.3206444
17239,8.523483
16918,22.892035
7295,18.654373
10222,8.377807
7532,3.7583954
11660,16.487831
9731,12.3645
13085,10.346575
8719,2.4598782
9703,12.336612
13462,16.153893
5556,17.784756
2770,4.421697
10606,0.11598004
20055,12.32672
14055,11.352388
15936,12.838561
15191,5.7813625
1580,16.481836
7300,19.629938
15520,8.246307
17198,7.890016
2194,0.0
20336,16.866665
12804,4.3409233
17299,8.520937
5581,17.023104
5843,15.3942375
14716,2.1509724
238,1.6853744
12378,13.260691
10613,0.11598004
8042,3.9192917
19876,12.93525
13747,5.751867
4767,6.7337475
5451,5.5349464
6733,21.365993
10648,16.93464
12287,5.462744
13621,13.103353
15877,13.499486
16645,10.14154
83,5.111694
16000,13.196986
584,6.7545457
11777,14.612619
8698,1.9791678
14800,14.133451
7323,19.027267
14999,15.668988
13227,10.376517
14256,5.894216
20294,16.957504
2638,19.78696
1310,11.635009
12021,3.0229745
20234,17.280912
16748,8.553417
1350,11.454891
2661,20.163927
6260,7.9275217
19762,7.3834105
4400,5.3659697
5469,5.4670744
18499,5.8536735
15646,6.5138674
19260,2.8267217
19357,24.835169
8203,3.3468313
12276,6.263498
10505,0.046407264
17534,22.440752
17890,14.561925
11553,22.522396
7258,20.585272
15928,13.299966
14255,5.894216
11261,2.0401855
9137,27.25586
448,0.0
9258,15.684612
1468,23.739923
8167,3.1987653
1121,14.289194
5215,12.915776
6006,12.541411
17498,29.409597
11568,20.026522
20161,11.115032
1952,3.7820911
13116,10.863794
20483,8.557254
4150,12.703269
19782,7.1707997
14804,14.133451
12477,8.056882
18218,18.368237
5590,16.445255
16557,11.651058
7876,14.163918
3918,6.6296015
18865,12.997541
17052,0.890576
12710,3.59953
10511,0.12669769
19282,2.7217767
1297,11.29498
13394,13.244797
8644,1.9987987
5298,13.437018
8009,13.174323
