,country,year,sex,age,generation,incomelevel,depression,alcohol
4887,19,2000,0,0,2,0,2.992715,1.913563
20388,85,2013,1,3,3,0,3.555894,1.167108
5632,22,2002,1,0,4,0,2.798622,1.941127
4641,18,1999,1,5,1,2,2.809418,1.422175
14576,60,2011,1,4,0,2,2.929236,2.314594
7735,31,1990,0,1,0,0,3.94704,2.142499
13998,57,2010,1,1,2,0,3.585173,1.432641
17236,72,1994,0,5,1,0,3.631979,0.818897
3983,16,1996,0,0,2,0,4.354149,2.363795
15776,65,2012,0,5,5,0,3.48764,0.734513
18448,77,2000,0,3,4,2,3.09092,0.941828
3493,14,2003,0,3,4,2,2.665233,1.772167
14243,59,2007,0,0,4,2,2.669106,1.358762
11869,47,2014,0,4,0,0,3.616397,1.368371
1020,3,2010,1,1,2,2,2.714179,1.990295
801,2,2015,0,3,3,2,3.657683,1.822172
4766,18,2009,0,4,5,2,2.877157,1.444609
8831,34,2008,0,1,2,2,3.406449,2.744363
1662,5,2014,1,1,4,0,3.26746,1.906362
2283,8,2009,0,3,3,0,2.740063,1.594169
16031,66,2007,1,2,0,2,2.339504,1.764712
5666,22,2005,0,2,0,0,2.757636,2.035478
14923,62,2002,1,1,2,0,2.308672,1.934535
3830,15,2007,0,1,2,0,3.949366,1.580035
1919,7,2000,1,2,0,0,4.307965,0.739407
15259,63,2007,0,3,3,0,4.803936,1.296047
2252,8,2006,1,3,4,0,2.729436,1.576808
17790,75,1991,1,5,1,0,4.68566,1.913882
4795,18,2012,1,1,4,2,2.889929,1.451098
7831,31,1999,1,0,2,0,3.804899,2.169942
17105,71,2009,1,0,4,2,3.708589,1.655148
9675,38,1999,0,2,0,0,4.310122,1.857496
10053,39,2006,1,2,0,0,4.151368,0.537625
13930,57,2004,0,4,5,0,3.678936,1.455352
7743,31,1991,0,4,5,0,3.938162,2.144217
2090,7,2014,0,0,4,0,3.906875,0.734987
12624,50,2015,0,0,4,2,3.495053,1.299377
7927,31,2007,0,3,3,0,3.931454,2.004104
2102,8,1990,0,4,1,0,2.735766,1.525819
10186,40,1991,1,1,0,0,3.715023,0.454951
2434,10,1991,0,5,1,0,3.627543,1.403034
11435,45,2012,0,4,0,0,3.558861,0.682707
1426,5,1992,0,1,0,0,3.622927,1.721153
7719,30,2015,1,2,2,2,2.793426,2.070307
16468,68,2011,1,4,0,0,2.894561,0.861206
544,2,1994,0,5,1,2,3.606913,2.246206
6586,25,2009,1,3,3,1,3.032828,2.801696
5699,22,2008,0,5,5,0,2.725612,2.101904
18429,77,1999,1,4,5,2,3.082819,0.939163
408,1,2007,1,2,0,0,2.560037,2.10269
14978,62,2006,1,3,4,0,2.27436,1.977688
4465,17,2010,0,2,2,2,2.228705,1.74852
8198,32,2004,0,2,0,0,4.364038,1.078711
12465,50,2002,1,4,5,2,3.667044,1.216678
3290,13,2011,0,5,5,2,3.449547,2.70827
9250,37,1990,0,4,1,0,3.59111,1.17511
12502,50,2005,1,0,4,2,3.625917,1.214218
9923,39,1995,1,0,2,0,4.171746,0.547461
2681,10,2013,0,4,0,0,4.110062,1.450025
6821,27,2002,1,2,0,2,3.162425,1.045809
12582,50,2012,1,1,4,2,3.527032,1.288766
6546,25,2006,0,2,0,1,3.05103,2.887121
6685,26,2005,0,5,5,0,4.256001,4.933496
17373,72,2005,0,0,4,0,3.358963,0.838729
11057,43,2014,0,0,4,2,3.519001,3.55546
8468,33,2005,0,1,2,2,2.812553,1.660599
9412,37,2004,1,4,5,0,3.440801,1.182503
8351,33,1991,0,3,4,2,2.744632,1.622308
480,1,2015,0,4,0,0,2.54375,2.142253
2034,7,2009,0,3,3,0,4.014388,0.743088
15113,63,1992,0,5,1,0,4.716369,1.168727
8737,34,2000,1,3,4,2,3.482448,3.054103
18281,76,2011,0,2,2,0,3.769659,1.383849
15425,64,1997,0,2,0,0,2.818784,2.078846
215,0,2009,1,5,5,2,2.206033,1.824955
14436,60,1999,0,5,1,2,2.833395,2.198905
20553,86,2001,1,3,4,1,2.938543,2.327326
18200,76,2004,0,4,5,0,3.931354,1.433958
5092,20,1995,0,4,5,2,4.069794,1.585755
12425,50,1998,0,3,4,2,3.681982,1.252934
15915,66,1997,0,4,5,2,2.36655,1.986891
1138,4,1993,1,0,2,0,4.754454,1.462686
9004,35,1997,0,5,1,2,3.94451,1.933601
