,sex,age,generation,incomelevel,depression,alcohol
9081,1,3,3,2,4.219658,2.041377
12989,0,3,4,2,2.585275,1.72725
5941,1,4,5,0,3.31291,1.78679
18371,0,0,2,2,3.033093,0.871374
102,0,2,0,2,2.195285,1.654338
5097,0,3,4,2,4.069794,1.585755
14427,1,3,4,2,2.830085,2.197235
8223,0,1,2,0,4.375195,1.086132
12990,0,4,5,2,2.585275,1.72725
4799,0,2,2,2,2.889929,1.451098
472,0,4,0,0,2.539623,2.134396
1635,1,3,3,0,3.284905,1.950263
16344,0,2,0,0,2.955657,0.853448
9698,0,0,4,0,4.333706,1.877489
2694,0,5,5,0,4.110472,1.452881
16116,1,1,4,2,2.340368,1.703686
4220,1,0,2,2,2.26815,1.409241
105,1,3,4,2,2.195285,1.654338
19813,0,5,5,0,4.126116,1.917394
19170,0,2,0,2,2.869573,2.750951
4659,0,2,0,2,2.816173,1.424281
6091,0,2,0,2,2.878598,1.945942
2728,0,2,0,1,2.725553,1.57284
17185,1,4,1,0,3.858486,0.821985
12369,1,4,5,2,3.656721,1.30072
8411,0,3,4,2,2.766909,1.64368
2754,0,3,4,1,2.755676,1.64789
14962,0,2,0,0,2.274279,1.971036
2736,1,1,0,1,2.745329,1.62603
14180,1,0,4,2,2.67298,1.328902
7060,1,1,2,0,5.069844,2.866131
9691,1,1,2,0,4.333706,1.877489
16744,0,3,3,0,3.417825,0.471783
14108,1,0,2,2,2.659093,1.317554
14623,1,0,2,1,2.930071,1.056192
602,1,1,2,2,3.652057,2.266152
1838,1,1,2,2,2.548137,2.151784
16611,0,5,1,0,3.921154,0.490438
20586,0,1,2,1,2.924568,2.270934
13514,0,3,4,0,4.131751,1.476471
12944,1,4,0,2,2.772136,1.730384
18813,0,4,5,0,3.332246,1.650006
17057,1,4,5,2,3.767504,1.568058
2563,1,2,0,0,3.90036,1.473649
2688,1,5,5,0,4.110472,1.452881
5030,0,5,5,0,2.78089,2.094955
9933,0,5,1,0,4.190588,0.547629
16832,1,2,0,0,3.148225,2.205821
11875,0,3,3,0,3.616397,1.368371
13488,0,5,1,0,4.163674,1.608131
12588,0,1,4,2,3.527032,1.288766
8182,1,4,5,0,4.338623,1.078191
10248,1,0,2,0,3.514964,0.447098
3705,1,0,2,0,4.128427,1.51893
433,0,1,2,0,2.541514,2.107696
11602,0,4,1,0,4.048906,1.436539
15799,0,3,3,0,3.478949,0.734647
8158,1,2,0,0,4.269788,1.077283
7131,1,4,0,0,4.961094,2.820935
2738,0,1,0,1,2.745329,1.62603
11228,1,3,4,0,3.529734,0.666955
5094,0,0,2,2,4.069794,1.585755
13664,1,4,0,0,3.974729,1.896684
13691,0,2,2,1,2.865712,2.080863
12452,1,4,5,2,3.678018,1.221607
4009,0,1,2,0,4.318484,2.507668
8720,1,4,5,2,3.466129,3.104749
10316,1,4,5,0,3.435921,0.450356
13521,0,1,2,0,4.12433,1.449029
3443,1,1,2,2,2.740295,1.786741
2847,0,4,5,1,2.839583,1.738945
8746,0,1,2,2,3.486581,2.999772
12527,0,0,4,2,3.592954,1.237363
3954,1,5,1,0,4.37893,2.291569
4113,1,2,0,0,4.133177,2.549869
8922,1,5,1,2,3.687009,1.804892
15582,0,2,2,0,2.725618,1.75171
17216,0,1,0,0,3.724554,0.819173
14219,0,5,5,2,2.677582,1.332072
13642,0,1,2,0,3.9871,1.77714
3382,0,0,2,2,2.789242,1.868211
9091,0,3,3,2,4.235203,2.043699
1130,0,4,5,0,4.715412,1.430158
17736,0,0,4,2,4.027658,1.771608
7493,1,0,2,2,2.765139,2.008119
14666,1,3,4,1,2.794866,0.983473
15115,1,0,2,0,4.716369,1.168727
10503,1,1,0,2,2.568978,1.368381
19485,1,4,5,0,2.954305,0.75826
6502,0,5,5,1,3.089073,3.072536
209,0,5,5,2,2.206033,1.824955
12414,0,5,1,2,3.672637,1.268984
15657,1,3,4,0,3.694272,0.726144
2029,1,0,4,0,4.014388,0.743088
