,sex,age,generation,incomelevel,depression,alcohol
14813,1,4,5,0,2.252338,1.850918
15911,1,4,5,2,2.36655,1.986891
7251,0,1,2,0,4.480829,1.374704
1026,0,2,2,2,2.714179,1.990295
16661,0,2,0,0,3.63728,0.476457
1112,1,5,1,0,4.671933,1.392997
14153,1,2,0,2,2.666444,1.328796
15025,0,0,4,0,2.28315,2.014249
17108,0,2,0,2,3.708589,1.655148
13233,1,1,2,0,4.058864,0.75705
19018,1,3,4,2,2.920778,2.440607
14746,0,1,2,1,2.714691,0.885359
13349,0,3,3,0,4.034466,0.731221
14901,0,2,0,0,2.32588,1.910661
18099,1,2,0,0,4.182453,1.452597
1053,0,3,3,2,2.72184,1.990613
1358,0,0,4,0,4.79008,1.504314
682,1,5,5,2,3.653175,2.196387
16244,1,2,0,2,2.631312,1.990449
3673,0,1,0,0,4.117476,1.502866
6768,0,3,3,0,3.95317,4.99375
2185,0,2,0,0,2.712217,1.57895
9875,1,1,0,0,4.053225,0.547293
5423,0,3,3,0,3.27735,1.111439
554,1,0,2,2,3.615924,2.266897
6797,0,2,2,0,3.880068,4.855356
15824,1,5,5,0,3.48023,0.733125
14702,1,3,4,1,2.732641,0.937151
1428,1,3,4,0,3.622927,1.721153
11617,1,3,4,0,4.048632,1.43592
3232,0,3,4,2,4.027395,2.691151
4532,1,4,1,2,2.771931,1.402713
1099,0,0,4,2,2.747315,1.974356
6948,0,3,4,0,5.512826,2.56213
15928,0,2,0,2,2.361048,1.942409
19695,0,3,4,0,4.185712,1.646296
13702,0,1,4,1,2.863188,2.079141
14114,0,3,4,2,2.659093,1.317554
3156,0,2,0,2,4.097776,2.700238
20197,0,5,1,0,3.307213,0.996069
6215,1,3,4,2,2.941199,1.840512
6303,1,5,5,2,2.960197,1.79532
13108,0,3,4,0,4.158248,0.785731
7839,1,2,0,0,3.79665,2.16654
5278,0,4,0,2,3.340647,1.721256
12347,1,4,5,2,3.653775,1.313857
735,0,0,4,2,3.64793,1.839168
4297,0,2,0,2,2.339456,1.524376
13744,1,5,5,1,2.853856,2.061747
18849,0,4,5,0,3.340305,1.709994
13714,0,1,4,1,2.860821,2.076338
8993,1,4,5,2,3.912146,1.91793
12873,0,0,4,2,2.766796,1.718196
3190,0,2,0,2,4.109456,2.697842
15019,1,1,2,0,2.28315,2.014249
17854,1,0,2,0,4.637968,2.021313
2469,0,4,5,0,3.633646,1.441613
2987,0,1,4,1,2.837371,1.766266
5704,1,3,3,0,2.725612,2.101904
7533,0,2,0,2,2.750939,1.919059
10481,1,3,3,0,3.458618,0.465702
9546,0,3,3,0,3.360755,1.231484
5932,0,4,5,0,3.334813,1.778207
15061,0,1,4,0,2.2738,2.02574
8035,0,3,2,0,4.077248,1.045123
1655,0,1,4,0,3.273578,1.925424
2206,0,1,2,0,2.720469,1.57524
4558,1,0,2,2,2.770426,1.404308
18144,1,1,2,0,4.068594,1.443233
13485,0,0,2,0,4.163674,1.608131
15069,0,4,0,0,2.268372,2.030482
18551,0,5,5,2,3.10254,0.866558
11921,1,4,5,2,3.385772,0.739423
12269,1,3,3,0,3.327916,1.105108
14167,1,0,4,2,2.66913,1.32934
263,1,5,1,0,2.563626,2.098263
14454,1,0,4,2,2.843599,2.207012
15305,1,4,0,0,4.718802,1.291525
6649,0,4,5,0,4.483954,5.060739
14924,1,0,4,0,2.308672,1.934535
10833,0,3,3,0,3.104944,0.563486
10410,0,3,3,0,3.447503,0.465679
10747,0,5,5,0,2.999525,0.568818
4313,0,3,4,2,2.353957,1.5534
1480,0,0,2,0,3.581562,1.803538
14270,0,3,3,2,2.654011,1.394363
11719,1,2,0,0,3.83053,1.439653
11967,1,2,0,2,3.294376,0.761604
2362,0,0,2,2,4.044808,4.977548
5226,0,1,2,2,3.436416,1.68297
6387,1,0,2,1,3.152032,3.225143
12912,0,4,0,2,2.75936,1.726843
7367,1,1,2,0,4.227962,1.45407
20343,1,3,3,0,3.505361,1.092824
490,1,4,0,0,2.54375,2.142253
9475,0,1,2,0,3.360182,1.208499
13990,0,2,0,0,3.593259,1.432227
11270,1,2,0,0,3.537333,0.670257
18449,1,3,4,2,3.09092,0.941828
12669,0,0,2,2,2.673297,1.710386
17775,0,2,2,2,4.014569,1.768336
7425,0,2,2,0,4.347922,1.495237
4967,0,4,5,0,2.818361,2.070469
8809,0,4,5,2,3.466441,2.769829
18654,1,4,5,0,3.451564,1.553557
9707,1,5,5,0,4.34665,1.885675
6835,1,1,2,2,3.161375,1.045707
18479,0,5,5,2,3.127299,0.898112
16727,0,4,5,0,3.422751,0.47119
12988,0,2,0,2,2.585275,1.72725
9366,0,1,2,0,3.509585,1.179112
8104,0,2,0,0,3.998333,1.06232
12833,1,1,2,2,2.7925,1.695729
2481,0,2,0,0,3.637369,1.449455
1214,0,2,0,0,4.796896,1.550707
19964,0,5,1,0,4.749991,2.034175
11862,1,1,4,0,3.618721,1.372449
9765,1,2,0,0,4.359767,2.004678
13948,1,5,5,0,3.659367,1.42803
14138,0,3,4,2,2.662905,1.323626
7640,0,1,2,2,2.78403,1.93751
3146,0,0,2,2,4.034842,2.670994
18323,0,5,5,0,3.721917,1.378581
13487,0,2,0,0,4.163674,1.608131
15299,0,2,2,0,4.7539,1.294469
20397,0,5,5,0,3.57016,1.175064
13185,1,1,2,0,4.121637,0.812405
10566,1,5,5,2,2.563666,1.366655
11974,0,3,3,2,3.269942,0.774779
11061,1,3,3,2,3.519001,3.55546
5231,1,2,0,2,3.401267,1.695704
12531,0,3,3,2,3.592954,1.237363
12175,1,5,5,0,3.392075,1.057526
2003,1,2,0,0,4.101758,0.738238
10255,1,5,1,0,3.498997,0.447723
18510,1,5,5,2,3.120784,0.875481
1607,0,5,5,0,3.298894,1.954449
7990,1,2,2,0,3.934021,2.012938
5340,1,4,5,0,3.319546,1.063982
1977,1,5,5,0,4.216324,0.735749
12014,0,3,2,0,3.473631,1.04024
3490,0,2,0,2,2.665233,1.772167
8410,0,2,0,2,2.766909,1.64368
11288,1,4,5,0,3.542158,0.671053
18007,1,1,2,0,4.557249,1.83905
2501,0,2,0,0,3.678606,1.463345
17193,0,0,2,0,3.858486,0.821985
19702,0,2,0,0,4.143342,1.67351
13505,1,0,2,0,4.131751,1.476471
437,0,5,5,0,2.541514,2.107696
17729,0,2,0,2,4.019964,1.770043
13558,0,2,0,0,4.12659,1.450309
6783,1,0,4,0,3.902099,4.912332
12173,0,5,5,0,3.39451,1.05708
10702,1,3,4,0,3.051899,0.562704
15223,0,2,0,0,4.680431,1.278205
12524,1,2,0,2,3.592954,1.237363
225,0,0,4,2,2.203342,1.838566
19775,0,4,5,0,4.121572,1.889701
18490,1,0,4,2,3.128016,0.888716
8947,0,5,1,2,3.770148,1.847594
10031,1,0,4,0,4.180606,0.542487
2359,0,4,5,2,4.044808,4.977548
7384,0,0,4,0,4.260417,1.469029
16680,1,1,2,0,3.494622,0.468378
18997,1,1,0,2,2.917563,2.410109
14400,0,4,5,2,2.824819,2.194569
17084,0,2,0,2,3.744696,1.600888
15507,1,4,5,0,2.765808,1.852428
12901,1,3,3,2,2.759083,1.724857
8240,1,5,5,0,4.355115,1.116942
4706,0,2,0,2,2.847832,1.428057
20643,1,0,4,1,2.884506,1.971242
19503,1,3,3,0,2.925635,0.761583
15878,0,5,1,2,2.37283,2.041502
20366,1,3,3,0,3.522626,1.140926
15406,0,3,4,0,2.837766,2.114897
3154,0,5,1,2,4.097776,2.700238
9229,0,1,4,0,2.754503,2.135476
16481,1,5,5,0,2.89145,0.861145
9128,0,3,4,0,2.87494,2.281156
19768,1,3,3,0,4.108739,1.852339
9344,0,2,0,0,3.542659,1.171648
12083,1,4,5,0,3.412645,1.04369
13915,1,2,0,0,3.684437,1.505516
15791,0,4,0,0,3.478949,0.734647
9034,0,4,5,2,4.007554,1.963466
10348,0,0,4,0,3.403169,0.450926
17353,1,4,5,0,3.37311,0.837303
10897,1,1,4,0,3.227353,0.573932
7219,0,0,2,0,4.531907,1.382412
2893,0,1,2,1,2.855552,1.753858
6437,0,1,2,1,3.152221,3.194417
11090,0,1,0,1,3.269642,1.031945
20590,0,3,4,1,2.924568,2.270934
5003,0,0,4,0,2.790946,2.0944
80,0,2,0,2,2.17953,1.668865
11141,0,5,1,1,3.265102,1.026453
2796,1,0,2,1,2.803003,1.707136
13482,1,5,1,0,4.163674,1.608131
7214,0,5,1,0,4.531907,1.382412
2868,0,0,4,1,2.852725,1.750191
7850,1,2,0,0,3.810194,2.141658
9364,0,2,0,0,3.509585,1.179112
10829,0,1,2,0,3.104944,0.563486
15410,1,1,2,0,2.831825,2.10399
4703,0,1,2,2,2.847832,1.428057
911,0,5,1,2,2.642468,2.095883
13972,1,5,5,0,3.612773,1.430309
13537,0,4,5,0,4.123757,1.447156
17815,1,1,0,0,4.668545,2.024107
20289,1,3,4,0,3.450324,1.01694
18012,0,0,4,0,4.557249,1.83905
6877,1,2,0,2,3.168357,1.064304
2746,1,4,5,1,2.745329,1.62603
12291,0,2,2,0,3.333244,1.107984
16851,1,2,0,0,3.067843,2.213872
14257,0,2,0,2,2.661105,1.378073
12612,1,4,0,2,3.505226,1.296276
12080,1,1,2,0,3.412645,1.04369
14485,0,3,4,2,2.867884,2.225935
4608,0,1,2,2,2.783971,1.412444
3899,0,2,2,0,3.926503,1.599727
2912,1,1,2,1,2.84611,1.753954
7692,1,5,5,2,2.789678,2.055383
17563,1,4,5,2,3.715075,1.686619
12363,0,4,5,2,3.655156,1.307527
6616,0,0,4,1,3.026992,2.738557
3598,0,5,5,2,2.540351,1.837604
5350,1,0,4,0,3.327539,1.064651
3932,1,1,0,0,4.3947,2.241898
17197,1,4,5,0,3.789711,0.820276
20405,0,4,0,0,3.585183,1.182338
19057,1,0,2,2,2.908275,2.560901
9234,1,2,2,0,2.758478,2.121472
20164,0,5,1,0,3.298194,1.026206
453,1,3,3,0,2.536427,2.120836
10136,1,4,0,0,3.996729,0.509059
19844,1,5,5,0,4.124435,1.914363
18904,1,0,4,2,3.77003,0.770705
632,1,3,4,2,3.658839,2.264304
19842,1,1,4,0,4.124435,1.914363
11958,1,5,5,2,3.337087,0.744852
10418,0,2,2,0,3.455801,0.46722
13698,1,0,4,1,2.863188,2.079141
4010,0,2,0,0,4.318484,2.507668
12710,1,3,4,2,2.710117,1.6676
19532,0,4,5,0,2.860907,0.768782
19254,0,1,4,2,2.820571,2.799165
14873,1,4,5,0,2.306339,1.897543
873,0,3,4,2,2.612533,2.16216
10457,1,3,3,0,3.454904,0.466905
14267,0,1,2,2,2.654011,1.394363
17167,0,1,4,2,3.70879,1.621201
11023,0,3,3,2,3.532259,3.602408
19884,1,3,4,0,4.651949,2.107931
692,1,3,4,2,3.653175,2.196387
19506,1,4,5,0,2.896171,0.765193
18941,0,0,4,2,3.742349,0.775118
11814,0,1,2,0,3.642918,1.383839
17003,1,3,4,2,3.695491,1.62615
4186,1,0,4,0,4.024264,2.442651
1598,0,4,5,0,3.311979,1.950768
14895,0,3,4,0,2.323037,1.905621
12869,1,1,2,2,2.766796,1.718196
291,0,3,4,0,2.551285,2.102846
5509,0,5,1,0,2.946743,1.86352
13977,0,2,0,0,3.612773,1.430309
7705,1,4,0,2,2.791195,2.062926
10620,0,3,3,2,2.557727,1.450941
240,0,0,2,0,2.573487,2.091997
16866,0,4,5,0,3.024947,2.214458
4141,0,2,0,0,4.038821,2.47353
1961,0,4,5,0,4.251721,0.73564
14469,1,4,5,2,2.854846,2.215729
18400,0,3,4,2,3.052955,0.898256
19487,1,0,4,0,2.954305,0.75826
695,1,0,4,2,3.651586,2.096837
8358,1,4,5,2,2.744632,1.622308
3162,1,4,5,2,4.106735,2.707953
10285,0,4,5,0,3.466312,0.44936
8481,0,2,0,2,2.809223,1.667693
2505,0,0,2,0,3.678606,1.463345
13841,1,4,5,0,3.884254,1.686652
2004,1,4,5,0,4.101758,0.738238
14016,0,0,4,0,3.589313,1.431651
10015,1,5,5,0,4.196425,0.544431
16807,1,0,4,0,3.249386,2.11768
18567,0,0,4,2,3.09972,0.868795
3474,0,5,5,2,2.688689,1.773001
14910,1,5,5,0,2.319913,1.920361
586,1,5,1,2,3.643306,2.267221
19571,0,4,5,0,4.248149,1.463424
19368,0,4,5,1,4.409427,4.953873
11117,0,4,5,1,3.271229,1.029112
4531,1,2,5,2,2.771931,1.402713
5497,1,2,5,0,2.943294,1.856324
2079,0,2,2,0,3.922651,0.73805
15415,0,4,5,0,2.831825,2.10399
1471,0,3,4,0,3.612334,1.768456
14008,1,5,5,0,3.589313,1.431651
12324,1,0,2,2,3.650597,1.32484
11000,0,0,4,2,3.542525,3.498564
4897,0,0,4,0,2.967659,1.925441
11224,0,0,2,0,3.529734,0.666955
3394,1,3,4,2,2.792333,1.864116
11340,0,2,0,0,3.558908,0.673556
6926,1,4,0,2,3.179419,1.100855
5935,0,2,0,0,3.334813,1.778207
7918,1,2,0,0,3.931454,2.004104
7912,0,1,2,0,3.932749,1.976898
11692,0,0,2,0,3.930376,1.44319
9454,1,3,3,0,3.382677,1.198786
12920,1,4,0,2,2.761886,1.728491
5809,1,1,2,0,3.83155,1.579173
12613,0,2,2,2,3.505226,1.296276
14164,1,5,5,2,2.66913,1.32934
18232,1,2,0,0,3.852081,1.41197
6743,0,2,2,0,4.013452,5.024749
19343,0,1,2,1,4.4786,5.17397
5994,1,0,4,0,3.276423,1.79494
16841,1,3,4,0,3.148225,2.205821
426,1,0,4,0,2.550374,2.104989
14339,0,4,0,2,2.666329,1.410564
15555,1,1,2,0,2.738188,1.777734
8319,0,2,2,0,4.252704,1.133881
11857,1,0,4,0,3.618721,1.372449
18727,0,0,2,0,3.415368,1.545431
3561,1,4,5,2,2.551664,1.83755
3405,1,3,4,2,2.793179,1.859693
11009,0,0,4,2,3.536234,3.571414
4754,0,2,0,2,2.870763,1.440379
3748,1,3,4,0,4.131314,1.551039
9442,1,5,5,0,3.402373,1.191376
18778,0,4,5,0,3.355561,1.597734
14796,0,2,2,1,2.728667,0.889901
16873,1,1,2,0,2.989215,2.214541
19110,0,1,2,2,2.888669,2.670167
18348,0,1,0,2,2.994226,0.830684
12515,1,4,5,2,3.609756,1.222068
1895,0,1,2,0,4.313476,0.740434
16461,0,0,4,0,2.894561,0.861206
6682,1,4,5,0,4.256001,4.933496
3579,0,2,2,2,2.545709,1.838541
2343,0,1,0,2,3.998476,4.795118
1074,0,3,3,2,2.734193,1.985974
4616,1,1,2,2,2.792654,1.415829
12037,1,2,0,0,3.443676,1.039935
9756,0,4,5,0,4.366668,1.948764
9611,1,4,5,0,4.224017,1.784501
12997,1,5,5,2,2.585275,1.72725
11112,1,1,0,1,3.271229,1.029112
16523,0,2,5,0,3.926732,0.478385
1859,1,2,0,2,2.551683,2.1614
2762,0,0,2,1,2.765625,1.665614
6146,0,0,2,2,2.906001,1.890466
11358,0,4,5,0,3.564094,0.673595
4841,0,5,1,0,3.110432,1.995769
797,0,1,4,2,3.657683,1.822172
4779,1,3,3,2,2.882125,1.447222
9464,0,3,3,0,3.367176,1.205389
862,1,4,5,2,2.612533,2.16216
14959,1,1,2,0,2.274279,1.971036
6709,0,2,0,0,4.154931,4.9616
4027,1,4,5,0,4.283824,2.600849
11123,1,0,2,1,3.269665,1.027777
11211,1,0,2,0,3.537948,0.66614
13382,0,1,4,0,4.028566,0.754582
1741,0,4,5,2,2.545511,2.184191
20016,1,5,5,0,4.785232,2.066706
19251,0,0,4,2,2.820571,2.799165
18040,1,5,5,0,4.541678,1.835134
10113,1,2,2,0,4.055852,0.51564
11095,1,3,4,1,3.269642,1.031945
20266,0,1,2,0,3.42275,1.014303
13641,0,0,4,0,3.9871,1.77714
8649,0,4,5,2,3.279665,3.33331
15985,1,0,4,2,2.347841,1.821129
19612,0,3,4,0,4.234785,1.522711
4281,1,0,2,2,2.328083,1.500452
5981,0,4,5,0,3.277504,1.798737
2921,1,0,4,1,2.841534,1.753958
20604,1,1,2,1,2.887711,2.040843
7036,1,1,2,0,5.164113,2.87308
19112,0,2,0,2,2.888669,2.670167
7931,0,5,5,0,3.929604,2.037797
15926,0,4,5,2,2.361048,1.942409
15660,0,2,0,0,3.716088,0.714718
4912,0,5,5,0,2.918731,1.977219
19996,1,0,4,0,4.778244,2.05148
9484,0,2,2,0,3.358979,1.209134
7091,1,3,3,0,5.034262,2.855894
539,1,4,5,2,3.606913,2.246206
7037,1,0,4,0,5.164113,2.87308
16553,0,1,0,0,4.000174,0.482162
12265,0,2,2,0,3.327916,1.105108
11098,1,2,0,1,3.271182,1.030464
1475,1,0,2,0,3.581562,1.803538
19725,1,0,4,0,4.085993,1.727773
16045,1,0,4,2,2.334845,1.748436
4997,1,1,4,0,2.790946,2.0944
3788,1,5,5,0,4.011867,1.570141
9519,1,4,0,0,3.361856,1.218249
18496,1,3,4,2,3.128016,0.888716
11269,0,0,2,0,3.537333,0.670257
19173,0,4,5,2,2.869573,2.750951
4277,1,3,4,2,2.316248,1.480987
7215,0,4,5,0,4.531907,1.382412
12137,0,5,1,0,3.400413,1.055946
7466,1,2,5,2,2.784808,2.067237
99,1,5,1,2,2.195285,1.654338
16022,0,5,5,2,2.342224,1.78033
16310,0,5,5,2,2.586581,2.030232
1822,1,4,5,2,2.546409,2.149821
16112,0,3,3,2,2.335909,1.708826
6889,0,0,4,2,3.172747,1.077975
13688,1,4,5,1,2.865712,2.080863
3963,0,5,1,0,4.37893,2.291569
20177,0,2,0,0,3.296074,0.999537
11427,1,2,2,0,3.547218,0.683594
4876,0,0,2,0,3.02098,1.92017
19794,1,1,4,0,4.12623,1.913856
2934,1,1,2,1,2.839609,1.754348
7350,0,1,2,0,4.256865,1.433206
7188,0,3,3,0,4.857565,2.70387
9985,0,4,5,0,4.229199,0.54849
12834,1,4,5,2,2.7925,1.695729
20208,1,0,2,0,3.320422,0.999393
2708,0,1,4,0,4.110452,1.456476
9187,0,2,2,0,2.761039,2.187616
9023,0,4,5,2,3.976756,1.948986
16451,0,3,3,0,2.896495,0.860863
7323,1,1,2,0,4.352313,1.415662
18691,0,1,2,0,3.458776,1.520269
2558,0,5,5,0,3.859915,1.478824
3212,1,1,2,2,4.090664,2.687807
87,1,2,0,2,2.188802,1.658553
19162,1,3,4,2,2.878487,2.724895
11731,0,4,5,0,3.802403,1.429088
13646,0,3,3,0,3.9871,1.77714
1448,0,0,2,0,3.627884,1.738368
8196,1,0,4,0,4.364038,1.078711
5797,0,5,1,0,3.847608,1.561136
5654,0,5,5,0,2.769308,2.012186
18645,0,2,0,0,3.445302,1.577353
7203,0,5,1,0,4.56418,1.388861
14463,1,3,4,2,2.843599,2.207012
7552,1,1,2,2,2.766024,1.868791
2256,0,3,3,0,2.733735,1.582422
19648,1,3,4,0,4.241218,1.566621
19514,0,5,5,0,2.896171,0.765193
5552,1,4,5,0,2.929564,1.884835
7621,1,4,5,2,2.784744,1.900684
11742,0,2,0,0,3.773386,1.416718
18968,0,2,2,2,3.725807,0.77714
10635,0,0,2,0,3.062597,0.552453
9485,0,4,5,0,3.358979,1.209134
17547,0,3,2,2,3.650848,1.665205
4363,1,0,4,2,2.412206,1.613577
4927,0,0,4,0,2.895932,2.003226
13182,1,5,1,0,4.121637,0.812405
12795,0,3,4,2,2.773452,1.701001
5948,0,1,2,0,3.31291,1.78679
4259,0,0,2,2,2.304626,1.461915
18222,1,1,2,0,3.879094,1.42292
14640,0,4,5,1,2.915946,1.046837
13808,1,4,5,0,3.974874,1.731578
9678,0,3,4,0,4.310122,1.857496
2423,0,5,1,0,3.631738,1.387457
20657,0,1,4,1,2.882817,1.951835
3274,0,2,2,2,3.497159,2.708814
7139,1,3,3,0,4.961094,2.820935
19728,0,4,5,0,4.085993,1.727773
18603,0,0,4,2,3.089677,0.884054
15991,1,3,4,2,2.347841,1.821129
18996,1,2,0,2,2.917563,2.410109
12429,1,5,1,2,3.68872,1.238369
4333,0,2,0,2,2.384067,1.604951
6886,1,2,0,2,3.172747,1.077975
12282,1,3,3,0,3.327814,1.1067
15218,1,1,2,0,4.680431,1.278205
5057,0,0,4,0,2.778055,2.08746
18087,1,3,3,0,4.513444,1.721177
11514,0,0,4,0,3.549109,4.432855
18120,1,4,5,0,4.139134,1.449761
7572,1,5,1,2,2.775152,1.840105
15249,1,3,4,0,4.759833,1.288625
8162,0,2,0,0,4.269788,1.077283
8455,1,1,2,2,2.811515,1.656004
343,1,0,4,0,2.571886,2.075933
9693,1,2,0,0,4.333706,1.877489
16496,0,2,2,0,2.886782,0.859959
3802,1,0,4,0,3.987778,1.573773
8767,1,0,4,2,3.487568,2.873611
11343,0,0,4,0,3.558908,0.673556
10344,1,0,4,0,3.403169,0.450926
12329,0,5,1,2,3.650597,1.32484
3655,1,1,0,0,4.111715,1.505524
6677,0,1,2,0,4.303747,4.951529
7880,1,3,4,0,3.882226,2.038043
1629,0,5,5,0,3.284905,1.950263
7658,1,2,2,2,2.783825,2.033003
9248,0,1,0,0,3.59111,1.17511
20404,0,5,5,0,3.585183,1.182338
9815,1,5,5,0,4.338509,2.131855
5617,1,2,0,0,2.813639,1.909667
12884,1,4,5,2,2.76109,1.72254
4258,1,2,0,2,2.304626,1.461915
13559,0,5,5,0,4.12659,1.450309
16007,1,5,5,2,2.344809,1.792783
4351,1,4,5,2,2.405436,1.617726
5709,1,0,4,0,2.717684,2.120999
6763,0,4,0,0,3.95317,4.99375
5625,0,0,4,0,2.813639,1.909667
16499,0,4,0,0,2.886782,0.859959
15151,1,0,2,0,4.679851,1.187652
12950,0,3,3,2,2.772136,1.730384
2254,0,1,2,0,2.733735,1.582422
14022,1,1,4,0,3.600845,1.430545
14776,1,5,5,1,2.724996,0.889633
4469,0,4,5,2,2.228705,1.74852
11463,0,2,2,0,3.582742,0.681029
15721,1,4,5,0,3.551997,0.724053
20043,1,1,2,0,4.793213,2.063498
711,0,0,4,2,3.649862,1.980933
15184,1,1,2,0,4.664418,1.23878
4070,0,5,5,0,4.245994,2.610772
8974,0,1,0,2,3.845663,1.88624
5004,1,3,3,0,2.790946,2.0944
6126,0,1,2,2,2.894682,1.910478
18679,1,0,2,0,3.458589,1.524089
8741,1,2,0,2,3.486581,2.999772
798,0,2,2,2,3.657683,1.822172
20554,0,3,4,1,2.938543,2.327326
4739,0,0,4,2,2.865004,1.435702
14090,1,3,3,0,3.448564,0.679011
15126,0,4,5,0,4.702669,1.174235
16091,1,5,5,2,2.334267,1.7142
5606,1,2,0,0,2.829517,1.891537
6420,1,5,1,1,3.161224,3.20531
2914,0,0,4,1,2.84611,1.753954
7452,0,3,3,0,4.32967,1.482519
10938,0,3,4,2,3.428476,2.51614
6357,1,3,3,2,2.970413,1.742634
17030,1,1,2,2,3.744977,1.584707
2801,0,4,5,1,2.803003,1.707136
2165,0,3,4,0,2.70989,1.55579
14719,1,2,0,1,2.716396,0.903034
9980,1,1,2,0,4.229199,0.54849
1774,1,4,5,2,2.541498,2.172171
864,1,1,2,2,2.612533,2.16216
11567,0,5,5,0,3.493617,4.486722
1611,0,1,2,0,3.298894,1.954449
15833,0,1,0,2,2.367998,2.01449
5320,0,1,2,0,3.319096,1.06261
16693,1,1,2,0,3.472043,0.468699
12033,1,4,5,0,3.443676,1.039935
16147,1,4,5,2,2.750819,1.886851
17247,1,2,0,0,3.613517,0.819615
3998,0,1,2,0,4.336719,2.432906
9255,1,4,5,0,3.592401,1.169433
10504,1,2,0,2,2.568978,1.368381
12130,1,1,2,0,3.400413,1.055946
18689,1,2,0,0,3.458776,1.520269
3496,1,2,0,2,2.643532,1.771984
10886,1,0,4,0,3.195748,0.571439
11007,1,0,4,2,3.536234,3.571414
15267,0,2,0,0,4.795229,1.296875
2967,1,3,3,1,2.838261,1.758207
16948,1,4,5,2,3.708842,1.725429
16313,0,2,2,2,2.586581,2.030232
9728,1,0,4,0,4.36515,1.904537
6531,1,5,5,1,3.058823,2.920276
16802,0,2,2,0,3.42572,0.483159
10531,1,2,0,2,2.557785,1.364231
6879,0,2,0,2,3.168357,1.064304
13478,0,3,4,0,4.178982,1.666973
5502,0,2,5,0,2.943294,1.856324
11033,1,5,5,2,3.525116,3.598258
13497,0,0,2,0,4.147365,1.537126
6836,1,3,4,2,3.161375,1.045707
9417,0,5,5,0,3.440801,1.182503
7861,1,2,0,0,3.844408,2.093558
297,1,3,4,0,2.551285,2.102846
13260,1,0,4,0,4.050149,0.724737
12254,0,1,2,0,3.328033,1.103618
7458,0,2,2,0,4.316753,1.471849
6444,1,2,0,1,3.138971,3.180736
18107,1,3,4,0,4.182453,1.452597
18442,1,5,1,2,3.09092,0.941828
14279,0,2,2,2,2.6524,1.402402
1326,0,3,3,0,4.857927,1.490525
16824,1,1,2,0,3.183512,2.187252
11040,0,4,0,2,3.525116,3.598258
9795,0,2,0,0,4.34969,2.115312
15887,1,4,5,2,2.372942,2.039545
15222,1,0,4,0,4.680431,1.278205
9941,1,3,4,0,4.190588,0.547629
12986,0,0,4,2,2.585275,1.72725
1196,1,1,2,0,4.801317,1.543012
19907,0,3,4,0,4.649294,2.058632
4387,1,4,5,2,2.425944,1.602937
15763,0,4,0,0,3.49216,0.734531
15857,0,1,0,2,2.370086,2.037609
136,0,0,4,2,2.216283,1.685102
20298,0,1,2,0,3.463541,1.01834
8343,0,5,1,2,2.739931,1.615005
9646,1,4,5,0,4.265165,1.832005
6234,0,1,2,2,2.958563,1.824945
18973,1,5,1,2,2.9136,2.348821
12301,0,0,4,0,3.339847,1.108806
11624,0,1,0,0,4.044123,1.435736
1097,0,2,2,2,2.747315,1.974356
7604,1,3,4,2,2.782174,1.868278
15505,1,2,0,0,2.765808,1.852428
5693,1,3,3,0,2.736033,2.078115
2787,0,5,1,1,2.788032,1.694776
16384,0,5,5,0,2.941494,0.850215
20548,0,5,5,1,2.938543,2.327326
17942,0,3,4,0,4.551847,1.684414
4961,1,3,3,0,2.836804,2.051808
11051,0,3,3,2,3.520886,3.583238
329,0,3,4,0,2.569818,2.075796
3665,0,3,4,0,4.111715,1.505524
11054,1,4,0,2,3.519001,3.55546
13988,1,0,4,0,3.593259,1.432227
486,1,0,4,0,2.54375,2.142253
14118,1,2,0,2,2.661027,1.320339
13878,1,2,0,0,3.704591,1.654621
5365,1,5,5,0,3.328013,1.065441
4341,1,1,2,2,2.394519,1.616765
19314,0,4,5,1,4.410799,5.183603
11315,1,1,2,0,3.553949,0.672916
16399,1,5,5,0,2.936018,0.850159
2645,1,1,2,0,4.101865,1.444568
10189,1,0,2,0,3.715023,0.454951
990,0,0,4,2,2.703805,1.947668
16343,1,2,0,0,2.955657,0.853448
8909,1,1,4,2,3.249042,2.670481
6023,1,3,3,0,3.275889,1.781913
18572,1,4,0,2,3.096663,0.87242
14097,0,2,2,0,3.402352,0.692664
14931,0,3,4,0,2.308672,1.934535
20009,0,2,0,0,4.78168,2.059815
2088,0,1,4,0,3.906875,0.734987
18437,0,3,4,2,3.082819,0.939163
13538,0,3,4,0,4.123757,1.447156
485,0,5,5,0,2.54375,2.142253
303,0,3,4,0,2.564,2.086392
195,0,5,5,2,2.210642,1.79855
550,1,5,1,2,3.615924,2.266897
6993,0,1,2,0,5.380097,2.828231
1789,1,1,2,2,2.543924,2.159798
15125,0,5,1,0,4.702669,1.174235
5738,0,0,4,0,2.706139,2.134149
18714,0,0,2,0,3.436279,1.533172
19646,0,0,2,0,4.241218,1.566621
15322,1,0,4,0,4.675021,1.287392
8665,0,2,0,2,3.303338,3.312988
17265,0,0,2,0,3.59628,0.821655
2968,1,5,5,1,2.838261,1.758207
16223,0,4,5,2,2.65594,1.961927
10746,1,2,0,0,2.999525,0.568818
3499,0,4,5,2,2.643532,1.771984
2944,1,5,5,1,2.839609,1.754348
15930,0,0,2,2,2.361048,1.942409
19833,1,0,4,0,4.125316,1.918018
